home_moneyline,date,away_team_abbr,home_team_abbr,home_score,away_score
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
-265,2021-01-13 20:00:00,CHI,TB,5,1
-137,2021-01-13 22:00:00,VAN,EDM,3,5
-152,2021-01-13 22:30:00,STL,COL,1,4
-108,2021-01-13 17:30:00,PIT,PHI,6,3
-143,2021-01-13 19:00:00,MON,TOR,5,4
